Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
22:51:18,6657,78.0,92
22:51:21,6656,78.0,91
22:51:23,6659,76.0,92
22:51:25,6658,76.0,91
22:51:28,6661,77.0,95
22:51:30,6662,75.0,100
22:51:33,6667,77.0,97
22:51:35,6755,76.0,98
22:51:37,6702,78.0,91
22:51:40,6689,74.0,93
22:51:42,6694,76.0,96
22:51:44,6689,76.0,99
22:51:46,6687,75.0,91
22:51:49,6687,75.0,98
22:51:51,6687,75.0,96
22:51:53,6680,76.0,100
22:51:56,6679,75.0,94
22:51:58,6677,76.0,100
22:52:01,6771,81.0,93
22:52:03,6803,81.0,94
22:52:05,6825,80.0,97
22:52:08,6822,80.0,93
22:52:10,6822,82.0,99
22:52:12,6807,82.0,96
22:52:15,6796,80.0,91
22:52:17,6800,80.0,94
22:52:19,6796,83.0,96
22:52:22,6801,79.0,91
22:52:24,6812,84.0,94
22:52:26,6808,82.0,98
22:52:29,6807,80.0,95
22:52:31,6809,82.0,98
22:52:34,6803,84.0,95
22:52:36,6810,81.0,94
22:52:38,6801,81.0,100
22:52:41,6806,83.0,96
22:52:43,6800,83.0,91
22:52:46,6802,81.0,96
22:52:48,6800,83.0,94
22:52:50,6804,82.0,94
22:52:53,6805,82.0,96
22:52:55,6806,83.0,100
22:52:58,6804,83.0,98
22:53:00,6806,82.0,99
22:53:02,6807,83.0,97
22:53:05,6807,83.0,94
22:53:07,6814,81.0,95
22:53:09,6811,84.0,94
22:53:12,6811,84.0,98
22:53:14,6809,82.0,94
22:53:16,6802,84.0,97
22:53:19,6807,86.0,96
22:53:21,6801,83.0,94
22:53:24,6802,84.0,96
22:53:26,6796,82.0,92
22:53:28,6798,83.0,100
22:53:31,6805,82.0,99
22:53:33,6799,83.0,97
22:53:36,6798,83.0,96
22:53:38,6803,84.0,98
22:53:40,6803,85.0,91
22:53:43,6803,84.0,99
22:53:45,6803,83.0,91
22:53:47,6809,84.0,91
22:53:50,6812,83.0,98
22:53:52,6812,83.0,94
22:53:54,6813,83.0,94
22:53:57,6813,85.0,98
22:53:59,6807,85.0,91
22:54:01,6794,85.0,94
22:54:04,6788,85.0,93
22:54:06,6787,83.0,95
22:54:09,6794,86.0,95
22:54:11,6794,84.0,95
22:54:13,6791,84.0,91
22:54:16,6787,83.0,98
22:54:18,6785,83.0,100
22:54:21,6791,84.0,95
22:54:23,6798,84.0,95
22:54:25,6797,85.0,96
22:54:28,6790,83.0,91
22:54:30,6793,85.0,97
22:54:33,6808,84.0,99
22:54:35,6837,85.0,92
22:54:37,6965,86.0,98
22:54:40,6956,84.0,97
22:54:42,6938,84.0,91
22:54:44,6924,86.0,96
22:54:47,6910,86.0,91
22:54:49,6914,87.0,99
22:54:51,6915,86.0,94
22:54:54,6912,85.0,98
22:54:56,6917,86.0,95
22:54:59,6916,87.0,97
22:55:01,6914,86.0,99
22:55:03,6921,84.0,92
22:55:06,6918,84.0,97
22:55:08,6884,86.0,100
22:55:11,6872,85.0,94
22:55:13,6869,86.0,94
22:55:15,6869,84.0,92
22:55:18,6867,86.0,98
22:55:20,6869,84.0,95
22:55:22,6876,86.0,93
22:55:25,6878,84.0,100
22:55:27,6877,86.0,91
22:55:29,6867,84.0,100
22:55:32,6860,83.0,94
22:55:34,6857,87.0,94
22:55:37,6858,86.0,93
22:55:39,6863,84.0,97
22:55:41,6857,86.0,93
22:55:44,6857,85.0,99
22:55:46,6854,86.0,98
22:55:48,6849,85.0,98
22:55:51,6848,87.0,97
22:55:53,6846,84.0,100
22:55:55,6849,84.0,98
22:55:58,6846,86.0,93
22:56:00,6808,86.0,96
22:56:03,6809,86.0,98
22:56:05,6814,85.0,97
22:56:07,6802,86.0,95
22:56:10,6802,85.0,95
22:56:12,6803,86.0,94
22:56:14,6802,84.0,95
22:56:17,6797,84.0,94
22:56:19,6799,84.0,94
22:56:21,6803,83.0,91
22:56:24,6803,85.0,95
22:56:26,6792,85.0,95
22:56:29,6794,84.0,95
22:56:31,6797,87.0,96
22:56:33,6798,85.0,93
22:56:36,6797,85.0,99
22:56:38,6801,84.0,91
22:56:41,6796,85.0,99
22:56:43,6795,86.0,91
