Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
22:31:24,6475,85.0,91
22:31:26,6474,84.0,91
22:31:28,6464,86.0,99
22:31:31,6469,86.0,100
22:31:33,6474,86.0,99
22:31:36,6474,83.0,100
22:31:38,6475,86.0,93
22:31:40,6478,86.0,98
22:31:43,6471,87.0,97
22:31:45,6477,86.0,92
22:31:48,6477,86.0,100
22:31:50,6477,83.0,97
22:31:52,6476,84.0,91
22:31:55,6472,84.0,94
22:31:57,6464,86.0,97
22:31:59,6458,86.0,94
22:32:02,6462,85.0,91
22:32:04,6471,84.0,94
22:32:06,6472,85.0,98
22:32:09,6480,86.0,97
22:32:11,6477,83.0,92
22:32:14,6469,83.0,98
22:32:16,6477,85.0,98
22:32:18,6466,86.0,91
22:32:21,6469,86.0,92
22:32:23,6476,85.0,93
22:32:26,6472,86.0,100
22:32:28,6477,84.0,92
22:32:30,6476,84.0,98
22:32:33,6470,84.0,94
22:32:35,6464,87.0,97
22:32:37,6469,86.0,100
22:32:40,6475,87.0,96
22:32:42,6484,87.0,99
22:32:44,6470,86.0,98
22:32:47,6471,85.0,97
22:32:49,6472,84.0,98
22:32:51,6500,87.0,99
22:32:54,6493,86.0,100
22:32:56,6485,84.0,93
22:32:59,6479,84.0,92
22:33:01,6475,85.0,92
22:33:03,6472,85.0,92
22:33:06,6471,86.0,98
22:33:08,6474,86.0,96
22:33:11,6471,85.0,99
22:33:13,6493,86.0,98
22:33:15,6511,85.0,97
22:33:18,6478,86.0,96
22:33:20,6474,85.0,94
22:33:23,6476,85.0,97
22:33:25,6469,86.0,96
22:33:27,6473,86.0,98
22:33:30,6479,87.0,92
22:33:32,6478,85.0,94
22:33:34,6470,87.0,94
22:33:37,6465,87.0,100
22:33:39,6465,85.0,91
22:33:41,6466,85.0,96
22:33:44,6463,84.0,99
22:33:46,6465,86.0,93
22:33:49,6471,86.0,98
22:33:51,6473,85.0,99
22:33:53,6469,86.0,98
22:33:56,6476,87.0,95
22:33:58,6476,84.0,98
22:34:01,6478,86.0,100
22:34:03,6475,87.0,91
22:34:06,6469,87.0,100
22:34:08,6477,87.0,91
22:34:10,6476,87.0,92
22:34:13,6469,86.0,93
22:34:15,6471,86.0,98
22:34:18,6474,87.0,99
22:34:20,6476,87.0,97
22:34:22,6471,87.0,95
22:34:25,6474,87.0,98
22:34:27,6478,87.0,99
22:34:29,6477,85.0,97
22:34:32,6477,86.0,98
22:34:34,6491,86.0,100
22:34:36,6535,87.0,99
22:34:39,6532,86.0,98
22:34:41,6536,85.0,92
22:34:44,6531,86.0,96
22:34:46,6523,85.0,96
22:34:48,6527,86.0,91
22:34:51,6532,87.0,95
22:34:53,6530,85.0,93
22:34:56,6524,86.0,96
22:34:58,6532,87.0,91
22:35:00,6543,87.0,92
22:35:03,6538,87.0,91
22:35:05,6542,86.0,98
22:35:08,6539,86.0,100
22:35:10,6546,85.0,91
22:35:12,6538,86.0,97
22:35:15,6540,84.0,99
22:35:17,6539,87.0,92
22:35:19,6543,85.0,97
22:35:22,6550,86.0,92
22:35:24,6554,86.0,100
22:35:26,6541,87.0,98
22:35:29,6541,87.0,97
22:35:31,6545,86.0,92
22:35:34,6547,85.0,97
22:35:36,6543,86.0,92
22:35:38,6544,85.0,97
22:35:41,6545,86.0,98
22:35:43,6544,85.0,91
22:35:46,6543,84.0,91
22:35:48,6545,84.0,97
22:35:50,6539,87.0,91
22:35:53,6536,85.0,96
22:35:55,6537,85.0,98
22:35:57,6530,84.0,94
22:36:00,6522,86.0,100
22:36:02,6499,84.0,95
22:36:04,6495,83.0,96
22:36:07,6495,84.0,95
22:36:09,6491,83.0,100
22:36:11,6420,83.0,96
22:36:14,6419,81.0,99
22:36:16,6425,81.0,91
22:36:18,6416,82.0,99
22:36:21,6411,83.0,98
22:36:23,6414,83.0,98
22:36:25,6409,81.0,100
22:36:28,6427,83.0,96
22:36:30,6411,83.0,100
22:36:33,6406,82.0,99
22:36:35,6405,81.0,98
22:36:37,6411,83.0,99
22:36:39,6408,83.0,92
22:36:42,6407,82.0,93
22:36:44,6408,81.0,100
22:36:46,6412,82.0,95
22:36:49,6409,82.0,100
22:36:51,6409,83.0,94
22:36:54,6411,81.0,92
22:36:56,6411,82.0,92
22:36:58,6419,83.0,93
22:37:01,6419,82.0,98
22:37:03,6419,82.0,96
22:37:05,6421,82.0,94
22:37:08,6421,83.0,98
22:37:10,6422,83.0,99
22:37:12,6421,82.0,99
22:37:15,6424,83.0,99
22:37:17,6416,82.0,97
22:37:19,6412,82.0,91
22:37:22,6416,81.0,96
22:37:24,6417,81.0,92
22:37:26,6417,83.0,96
22:37:29,6413,82.0,92
22:37:31,6413,80.0,95
22:37:33,6412,81.0,100
22:37:36,6412,82.0,95
22:37:38,6415,81.0,95
22:37:40,6421,81.0,91
22:37:43,6424,82.0,99
22:37:45,6424,82.0,94
22:37:48,6423,81.0,95
22:37:50,6423,81.0,95
22:37:52,6516,85.0,98
22:37:55,6651,85.0,100
22:37:57,6826,81.0,94
22:37:59,6846,83.0,97
22:38:01,6840,83.0,100
22:38:04,6825,83.0,95
22:38:06,6791,82.0,95
22:38:09,6772,80.0,93
22:38:11,6768,81.0,100
