os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127196,6.17.0-23-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
38.4617,25.9999,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,516563871
39.928,25.0451,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,541609140
39.6773,25.2033,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,566813197
39.3956,25.3836,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,592197181
37.5952,26.5992,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,618796916
39.3381,25.4207,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,644216597
39.1862,25.5192,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,669737017
36.4564,27.43,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,697166839
40.8884,24.4568,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,721625768
39.681,25.201,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,746825306
37.7706,26.4756,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,773301950
38.6209,25.8927,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,799194068
39.029,25.622,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,824817111
38.8673,25.7286,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,850546192
39.1737,25.5273,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,876073355
37.1103,26.9467,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,903021844
40.571,24.6481,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,927668545
39.3442,25.4167,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,953086784
39.2766,25.4605,3.5409,59,59,59,800,2800,0.453621,15,6.35199,0,0,978550698
37.6028,26.5938,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1005141466
39.4309,25.3608,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1030503169
39.4386,25.3559,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1055860012
38.1089,26.2406,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1082099671
38.9543,25.6711,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1107771796
39.6805,25.2013,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1132973398
37.9286,26.3653,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1159338864
39.5059,25.3127,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1184652145
38.0015,26.3148,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1210967677
39.536,25.2934,3.55828,59,60,57,800,2800,0.453621,9,6.34851,0,0,1236260400
