Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
21:53:57,9221,76.0,97
21:53:59,9219,77.0,94
21:54:01,9223,76.0,93
21:54:04,9217,76.0,97
21:54:06,9221,75.0,93
21:54:08,9219,77.0,97
21:54:10,9218,75.0,93
21:54:13,9218,77.0,100
21:54:15,9218,76.0,96
21:54:17,9218,75.0,99
21:54:19,9218,76.0,93
21:54:22,9219,76.0,96
21:54:24,9218,75.0,99
21:54:26,9217,75.0,93
21:54:28,9218,76.0,98
21:54:31,9220,78.0,100
21:54:33,9233,76.0,96
21:54:35,9256,77.0,93
21:54:38,9247,75.0,95
21:54:40,9339,80.0,91
21:54:42,9421,79.0,98
21:54:44,9406,78.0,98
21:54:47,9391,80.0,97
21:54:49,9379,80.0,95
21:54:51,9366,82.0,92
21:54:53,9360,81.0,91
21:54:56,9355,81.0,97
21:54:58,9369,82.0,96
21:55:00,9365,79.0,97
21:55:03,9361,81.0,93
21:55:05,9352,83.0,93
21:55:07,9343,83.0,93
21:55:09,9337,83.0,94
21:55:12,9346,80.0,98
21:55:14,9348,83.0,94
21:55:16,9348,83.0,93
21:55:19,9347,81.0,98
21:55:21,9348,84.0,99
21:55:23,9341,83.0,97
21:55:25,9330,80.0,91
21:55:28,9321,81.0,91
21:55:30,9326,82.0,91
21:55:32,9348,81.0,100
21:55:34,9350,82.0,94
21:55:37,9331,82.0,91
21:55:39,9324,83.0,99
21:55:41,9301,81.0,93
21:55:44,9293,83.0,92
21:55:46,9292,82.0,92
21:55:48,9295,82.0,91
21:55:50,9296,81.0,94
21:55:53,9291,82.0,95
21:55:55,9289,82.0,95
21:55:57,9288,81.0,98
21:55:59,9287,83.0,94
21:56:02,9266,83.0,94
21:56:04,9263,81.0,95
21:56:06,9267,82.0,100
21:56:09,9231,83.0,94
21:56:11,9231,81.0,100
21:56:13,9225,83.0,99
21:56:15,9227,82.0,99
21:56:18,9228,80.0,98
21:56:20,9224,84.0,95
21:56:22,9221,79.0,100
21:56:24,9220,78.0,97
21:56:27,9225,82.0,93
21:56:29,9224,83.0,95
21:56:31,9235,83.0,98
21:56:34,9230,81.0,91
21:56:36,9231,83.0,96
21:56:38,9232,83.0,93
21:56:40,9237,81.0,100
21:56:43,9292,78.0,99
21:56:45,9303,83.0,98
21:56:47,9229,82.0,91
21:56:50,9225,83.0,91
21:56:52,9234,82.0,98
21:56:54,9229,83.0,94
21:56:56,9231,82.0,100
21:56:59,9233,83.0,95
21:57:01,9232,83.0,96
21:57:03,9233,81.0,91
21:57:05,9228,80.0,100
21:57:08,9167,76.0,98
21:57:10,9166,77.0,96
21:57:12,9168,78.0,95
21:57:14,9159,77.0,93
