Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
20:29:44,7936,76.0,95
20:29:46,7935,77.0,93
20:29:49,7937,78.0,100
20:29:51,7935,77.0,100
20:29:53,8000,82.0,95
20:29:56,7940,80.0,96
20:29:58,8012,76.0,100
20:30:00,8050,76.0,95
20:30:03,8109,77.0,92
20:30:05,8205,77.0,99
20:30:07,8253,79.0,92
20:30:10,8240,78.0,92
20:30:12,8268,79.0,92
20:30:14,8221,78.0,95
20:30:17,8222,78.0,95
20:30:19,8230,80.0,95
20:30:21,8181,78.0,100
20:30:24,8180,79.0,96
20:30:26,8182,79.0,100
20:30:28,8171,80.0,91
20:30:31,8165,78.0,91
20:30:33,8162,79.0,92
20:30:35,8124,80.0,99
20:30:38,8123,80.0,97
20:30:40,8086,78.0,95
20:30:42,8086,79.0,98
20:30:45,8082,82.0,99
20:30:47,8081,80.0,97
20:30:49,8078,80.0,100
20:30:52,8124,82.0,97
20:30:54,8141,84.0,94
20:30:57,8175,83.0,97
20:30:59,8191,86.0,95
20:31:01,8201,84.0,93
20:31:04,8197,83.0,93
20:31:06,8197,87.0,93
20:31:08,8202,84.0,92
20:31:11,8203,84.0,93
20:31:13,8196,87.0,100
20:31:15,8196,85.0,94
20:31:18,8201,87.0,100
20:31:20,8143,87.0,100
20:31:23,8152,84.0,100
20:31:25,8156,87.0,92
20:31:27,8156,87.0,98
20:31:30,8134,87.0,100
20:31:32,8095,87.0,96
20:31:35,8118,84.0,92
20:31:37,8087,86.0,91
20:31:40,8101,86.0,96
20:31:42,8125,86.0,94
20:31:44,8125,85.0,94
20:31:47,8135,85.0,100
20:31:49,8135,86.0,91
20:31:51,8130,83.0,93
20:31:54,8127,86.0,91
20:31:56,8126,86.0,92
20:31:59,8140,87.0,99
20:32:01,8142,86.0,95
20:32:03,8136,85.0,91
20:32:06,8132,87.0,93
20:32:08,8128,86.0,97
20:32:10,8131,87.0,100
20:32:13,8119,84.0,95
20:32:15,8116,86.0,100
20:32:18,8131,86.0,95
20:32:20,8110,85.0,91
20:32:22,8109,86.0,92
20:32:25,8061,87.0,94
20:32:27,8044,88.0,100
20:32:30,8036,84.0,96
20:32:32,8042,86.0,94
20:32:34,8030,84.0,93
20:32:37,8028,85.0,94
20:32:39,8031,86.0,95
20:32:42,8030,87.0,94
20:32:44,8037,84.0,94
20:32:47,8027,87.0,91
20:32:49,8021,86.0,100
20:32:51,8003,84.0,98
20:32:54,8006,85.0,98
20:32:56,8006,87.0,97
20:32:58,8029,88.0,96
20:33:01,8036,83.0,98
20:33:03,8036,86.0,92
20:33:06,8058,84.0,98
20:33:08,8058,85.0,99
20:33:11,8066,85.0,93
20:33:13,8062,86.0,98
20:33:15,8066,87.0,96
20:33:18,8062,86.0,91
20:33:20,8060,87.0,98
20:33:23,8047,87.0,91
20:33:25,8046,87.0,95
20:33:28,8048,86.0,92
20:33:30,8044,87.0,96
20:33:32,8033,86.0,92
20:33:35,8026,87.0,100
20:33:37,8031,88.0,98
20:33:40,8036,88.0,99
20:33:42,8036,87.0,100
20:33:44,8006,86.0,98
20:33:47,8008,85.0,99
20:33:49,8008,85.0,94
20:33:52,8011,85.0,98
20:33:54,8019,85.0,99
20:33:56,8018,84.0,91
20:33:59,8016,87.0,100
20:34:01,8016,87.0,97
20:34:04,8020,88.0,95
20:34:06,8030,87.0,92
20:34:08,8027,87.0,92
20:34:11,8024,86.0,100
20:34:13,8028,85.0,96
20:34:16,8041,87.0,94
20:34:18,8039,87.0,97
20:34:20,8041,87.0,94
20:34:23,8023,86.0,100
20:34:25,8033,87.0,91
20:34:28,8029,88.0,91
20:34:30,8025,87.0,97
20:34:33,8040,87.0,100
20:34:35,8052,86.0,98
20:34:37,8058,89.0,98
20:34:40,8062,86.0,93
20:34:42,8065,85.0,98
20:34:45,8061,87.0,91
20:34:47,8044,87.0,91
20:34:50,8052,87.0,97
20:34:52,8048,87.0,95
20:34:55,8047,87.0,98
20:34:57,8027,86.0,100
20:34:59,8055,88.0,91
20:35:02,8058,87.0,98
20:35:04,8062,88.0,93
20:35:07,8059,87.0,100
20:35:09,8056,87.0,94
20:35:11,8049,87.0,94
20:35:14,8048,88.0,95
20:35:16,8048,87.0,92
20:35:18,8048,86.0,94
20:35:21,8062,87.0,99
20:35:23,8047,88.0,94
20:35:26,8033,87.0,97
20:35:28,8035,87.0,92
20:35:30,8034,85.0,95
20:35:33,8027,87.0,99
20:35:35,8032,86.0,92
20:35:38,8035,87.0,100
20:35:40,8037,89.0,96
20:35:43,8040,86.0,94
20:35:45,8043,88.0,98
20:35:48,8030,86.0,92
20:35:50,8033,86.0,93
20:35:53,8033,88.0,99
20:35:55,8027,87.0,98
20:35:58,8001,84.0,97
20:36:00,8019,84.0,99
20:36:02,8015,86.0,97
20:36:05,8020,87.0,95
20:36:07,8024,84.0,93
20:36:09,8014,84.0,91
20:36:12,7966,83.0,97
20:36:14,7972,83.0,95
20:36:16,7975,84.0,99
20:36:19,7968,82.0,91
20:36:21,7971,82.0,97
20:36:23,7974,83.0,91
20:36:26,7978,82.0,99
