Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
10:51:38,7292,77.0,96
10:51:41,7298,79.0,97
10:51:43,7299,77.0,95
10:51:45,7272,78.0,100
10:51:48,7275,76.0,96
10:51:50,7276,77.0,100
10:51:52,7253,77.0,91
10:51:55,7247,76.0,97
10:51:57,7244,76.0,95
10:52:00,7250,76.0,100
10:52:02,7254,76.0,93
10:52:04,7250,75.0,91
10:52:07,7251,75.0,96
10:52:09,7251,76.0,93
10:52:11,7251,76.0,100
10:52:14,7248,75.0,100
10:52:16,7248,75.0,100
10:52:18,7249,78.0,97
10:52:20,7256,75.0,92
10:52:23,7251,75.0,98
10:52:25,7253,75.0,98
10:52:28,7253,75.0,97
10:52:30,7252,75.0,98
10:52:32,7249,74.0,96
10:52:35,7247,75.0,93
10:52:37,7252,75.0,100
10:52:39,7264,76.0,91
10:52:42,7264,75.0,96
10:52:44,7342,77.0,98
10:52:46,7442,82.0,99
10:52:49,7461,82.0,94
10:52:51,7512,83.0,97
10:52:53,7516,83.0,95
10:52:56,7578,83.0,100
10:52:58,7608,82.0,96
10:53:01,7658,82.0,92
10:53:03,7687,81.0,95
10:53:05,7741,81.0,98
10:53:08,7788,79.0,100
10:53:10,7844,82.0,99
10:53:12,7918,82.0,98
10:53:15,7932,82.0,98
10:53:17,7897,82.0,100
10:53:20,7902,81.0,93
10:53:22,7899,83.0,100
10:53:24,7894,81.0,93
10:53:27,7896,83.0,96
10:53:29,7898,84.0,99
10:53:32,7902,83.0,95
10:53:34,7905,82.0,99
10:53:36,7903,83.0,93
10:53:39,7905,81.0,93
10:53:41,7891,81.0,97
10:53:43,7892,83.0,96
10:53:46,7895,83.0,100
10:53:48,7902,84.0,100
10:53:51,7913,83.0,91
10:53:53,7915,84.0,97
10:53:55,7917,83.0,93
10:53:58,7916,82.0,97
10:54:00,7916,83.0,94
10:54:03,7917,82.0,91
10:54:05,7915,82.0,97
10:54:07,7914,83.0,94
10:54:10,7914,84.0,98
10:54:12,7911,83.0,92
10:54:15,7913,84.0,92
10:54:17,7914,84.0,99
10:54:19,7913,83.0,94
10:54:22,7909,83.0,99
10:54:24,7909,83.0,100
10:54:26,7910,84.0,94
10:54:29,7914,83.0,100
10:54:31,7917,84.0,100
10:54:33,7926,83.0,91
10:54:36,7953,82.0,98
10:54:38,7953,83.0,92
10:54:40,7953,82.0,94
10:54:43,7954,84.0,100
10:54:45,7955,83.0,98
10:54:48,7954,84.0,94
10:54:50,7967,83.0,96
10:54:52,7963,84.0,93
10:54:55,7953,86.0,96
10:54:57,7964,85.0,95
10:55:00,7957,85.0,100
10:55:02,7957,86.0,95
10:55:04,7955,84.0,100
10:55:07,7954,84.0,98
10:55:09,7956,84.0,100
10:55:11,7955,85.0,94
10:55:14,7951,85.0,98
10:55:16,7973,83.0,100
10:55:18,7978,84.0,100
10:55:21,7981,84.0,100
10:55:23,7975,83.0,92
10:55:26,7965,83.0,97
10:55:28,7967,84.0,100
10:55:30,7965,84.0,93
10:55:33,7956,86.0,97
10:55:35,7958,84.0,99
10:55:38,7959,84.0,95
10:55:40,7956,83.0,97
10:55:42,7943,85.0,94
10:55:45,7948,84.0,100
10:55:47,7934,86.0,91
10:55:49,7942,84.0,92
10:55:52,7946,86.0,94
10:55:54,7941,83.0,91
10:55:57,7939,84.0,91
10:55:59,7938,84.0,91
10:56:01,7919,84.0,95
10:56:04,7914,87.0,94
10:56:06,7919,85.0,91
10:56:08,7930,85.0,99
10:56:11,7930,83.0,96
10:56:13,7936,83.0,98
10:56:16,7984,84.0,91
10:56:18,7890,84.0,98
10:56:21,7888,84.0,92
10:56:23,7890,85.0,92
10:56:25,7883,86.0,97
10:56:28,7883,84.0,91
10:56:30,7884,85.0,95
10:56:33,7880,84.0,97
10:56:35,7881,84.0,97
10:56:38,7882,83.0,96
10:56:40,7882,85.0,93
10:56:42,7882,84.0,91
10:56:45,7882,86.0,95
10:56:47,7886,84.0,96
10:56:50,7887,87.0,92
10:56:52,7884,85.0,100
10:56:54,7884,86.0,98
10:56:57,7885,84.0,95
10:56:59,7842,86.0,92
10:57:01,7848,86.0,95
10:57:04,7855,85.0,94
10:57:06,7863,84.0,92
10:57:08,7860,86.0,92
10:57:11,7867,84.0,98
10:57:13,7869,85.0,99
10:57:16,7868,85.0,92
10:57:18,7862,84.0,95
10:57:20,7850,86.0,93
10:57:23,7857,86.0,93
10:57:25,7860,85.0,96
10:57:28,7863,86.0,100
10:57:30,7866,85.0,94
10:57:33,7867,84.0,100
10:57:35,7865,87.0,91
10:57:37,7865,87.0,91
10:57:40,7869,85.0,95
10:57:42,7861,84.0,97
10:57:45,7848,86.0,95
10:57:47,7852,87.0,92
10:57:49,7835,86.0,99
10:57:52,7846,85.0,93
10:57:54,7846,86.0,98
10:57:56,7848,86.0,95
10:57:59,7838,86.0,92
10:58:01,7831,86.0,96
10:58:04,7828,84.0,91
10:58:06,7841,84.0,99
10:58:08,7900,87.0,97
10:58:11,7902,86.0,94
10:58:13,7818,84.0,93
10:58:16,7829,86.0,100
10:58:18,7836,87.0,97
10:58:20,7836,86.0,91
10:58:23,7833,87.0,99
10:58:25,7835,86.0,97
10:58:28,7844,87.0,100
10:58:30,7849,86.0,100
10:58:33,7855,86.0,100
10:58:35,7847,84.0,97
10:58:37,7845,83.0,96
10:58:40,7844,85.0,98
10:58:42,7843,85.0,91
10:58:45,7848,86.0,92
10:58:47,7847,84.0,91
10:58:49,7850,86.0,97
10:58:52,7851,86.0,94
10:58:54,7807,86.0,99
10:58:56,7807,87.0,97
10:58:59,7813,85.0,97
10:59:01,7816,87.0,93
10:59:04,7815,85.0,92
10:59:06,7815,86.0,95
10:59:08,7815,87.0,91
10:59:11,7817,86.0,98
10:59:13,7817,85.0,99
10:59:16,7741,87.0,98
10:59:18,7762,87.0,92
10:59:20,7768,87.0,100
10:59:23,7715,87.0,99
10:59:25,7728,87.0,97
10:59:28,7736,86.0,91
10:59:30,7738,85.0,92
10:59:33,7753,86.0,100
10:59:35,7777,84.0,94
10:59:38,7786,86.0,91
10:59:40,7790,86.0,93
10:59:42,7796,87.0,94
10:59:45,7798,86.0,91
10:59:47,7794,87.0,92
10:59:50,7744,86.0,100
10:59:52,7753,87.0,98
10:59:54,7762,87.0,98
10:59:57,7759,84.0,94
10:59:59,7760,87.0,98
11:00:01,7757,86.0,98
11:00:04,7765,85.0,99
11:00:06,7760,86.0,91
11:00:09,7763,87.0,96
11:00:11,7763,86.0,98
11:00:13,7750,86.0,98
11:00:16,7720,87.0,95
11:00:18,7731,85.0,98
11:00:21,7729,85.0,98
11:00:23,7731,86.0,92
11:00:26,7731,87.0,94
11:00:28,7738,86.0,91
11:00:31,7736,87.0,100
11:00:33,7729,84.0,93
11:00:35,7728,86.0,100
11:00:38,7706,87.0,98
11:00:40,7655,85.0,100
11:00:43,7659,84.0,94
11:00:45,7667,87.0,97
11:00:47,7674,86.0,93
11:00:50,7676,86.0,95
11:00:52,7679,86.0,98
11:00:55,7680,87.0,97
11:00:57,7687,86.0,94
11:01:00,7694,87.0,93
11:01:02,7688,87.0,95
11:01:05,7691,86.0,94
11:01:07,7640,87.0,93
11:01:09,7650,87.0,99
11:01:12,7650,85.0,100
11:01:14,7648,87.0,92
11:01:17,7654,87.0,91
11:01:19,7656,87.0,96
11:01:21,7651,88.0,94
11:01:24,7652,87.0,100
11:01:26,7647,87.0,99
11:01:29,7648,87.0,98
11:01:31,7605,87.0,91
11:01:33,7611,86.0,96
11:01:36,7609,86.0,92
11:01:38,7610,88.0,92
11:01:41,7610,87.0,98
11:01:43,7609,85.0,97
11:01:46,7625,86.0,98
11:01:48,7622,86.0,99
11:01:50,7626,87.0,92
11:01:53,7630,87.0,98
11:01:55,7631,85.0,95
11:01:58,7599,85.0,98
11:02:00,7604,85.0,96
11:02:02,7605,85.0,98
11:02:05,7606,83.0,98
11:02:07,7519,81.0,99
11:02:10,7516,82.0,96
11:02:12,7518,82.0,100
11:02:14,7522,81.0,92
11:02:17,7594,83.0,97
11:02:19,7626,82.0,91
