os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127212,6.17.0-22-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
36.9874,27.0362,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,233690633
32.2595,30.9986,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,264690762
47.6335,20.9936,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,285682883
40.7938,24.5135,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,310197467
38.84,25.7467,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,335944098
38.4489,26.0085,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,361954675
40.0745,24.9535,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,386907853
34.487,28.9965,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,415904956
39.102,25.5741,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,441478090
35.2013,28.4081,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,469887318
42.924,23.297,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,493183701
38.3073,26.1047,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,519289447
39.7945,25.1291,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,544420420
36.5656,27.3481,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,571767240
43.564,22.9547,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,594723464
40.7131,24.5621,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,619285848
37.81,26.448,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,645733617
40.6607,24.5938,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,670327620
38.9259,25.6898,5.55556,69,57,56,2114,2710,0.468143,22,11.1933,0,0,696020530
39.4927,25.3211,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,721338866
38.6771,25.8551,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,747194441
38.949,25.6746,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,772869497
38.6141,25.8973,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,798767873
38.2501,26.1437,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,824911100
37.8857,26.3952,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,851308775
39.6839,25.1991,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,876506573
39.1333,25.5537,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,902060983
37.0067,27.0221,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,929082721
39.4543,25.3458,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,954431263
38.2552,26.1402,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,980570061
39.5588,25.2788,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1005849143
39.7799,25.1383,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1030988301
40.2013,24.8748,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1055862592
37.8153,26.4443,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1082308498
38.144,26.2164,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1108524892
39.199,25.5109,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1134037021
38.6519,25.8719,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1159908988
39.3559,25.4092,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1185317082
38.3835,26.0528,4.66258,69,56,57,2195,2800,0.468143,17,11.385,0,0,1211377413
38.9363,25.683,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1237053721
38.6952,25.843,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1262896382
40.4763,24.7058,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1287602427
37.5524,26.6295,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1314232518
40.4592,24.7163,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1338949363
36.6592,27.2783,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1366229828
39.7295,25.1702,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1391399263
40.0088,24.9945,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1416394170
36.4137,27.4622,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1443856176
40.2998,24.814,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1468674301
37.8866,26.3945,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1495065584
39.8396,25.1007,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1520165970
37.4422,26.7078,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1546877395
35.6339,28.0632,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1574939179
42.9625,23.2761,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1598215645
39.7333,25.1678,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1623383126
38.8111,25.7658,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1649148853
35.1354,28.4613,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1677610258
43.6887,22.8892,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1700501170
36.094,27.7054,5.38556,69,59,57,2160,2800,0.468143,37,11.3813,0,0,1728212224
39.9201,25.0501,3.92638,69,60,56,2053,2800,0.468143,21,11.4432,0,0,1753257005
40.2656,24.8351,3.92638,69,60,56,2053,2800,0.468143,21,11.4432,0,0,1778092533
