os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127212,6.17.0-22-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
37.4612,26.6943,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,128597703
40.3825,24.7632,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,153360967
38.7486,25.8074,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,179168360
38.1567,26.2077,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,205376245
39.6422,25.2257,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,230601967
38.7151,25.8297,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,256431662
38.0405,26.2878,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,282719698
40.1305,24.9187,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,307638363
39.6195,25.2401,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,332878903
37.557,26.6262,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,359505183
38.7534,25.8042,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,385310052
38.4302,26.0212,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,411331066
40.5257,24.6757,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,436006665
36.3408,27.5173,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,463524409
42.2912,23.6456,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,487170065
35.9607,27.8081,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,514978855
39.7857,25.1347,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,540113396
39.5807,25.2649,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,565378441
38.3004,26.1094,3.37756,64,59,55,1033,2800,0.472054,14,9.46858,0.219433,0,591490256
40.9303,24.4318,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,615919683
36.2898,27.5559,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,643476430
40.5997,24.6307,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,668107646
37.6202,26.5815,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,694688791
41.5007,24.096,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,718784522
36.9227,27.0836,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,745868452
40.0809,24.9496,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,770818446
37.8041,26.4522,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,797270489
39.2538,25.4753,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,822746180
36.1083,27.6944,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,850440886
40.4186,24.7411,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,875182118
39.4013,25.3799,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,900561869
38.4541,26.005,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,926567024
37.6067,26.591,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,953158239
38.7344,25.8169,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,978975240
41.6382,24.0164,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,1002991732
37.8737,26.4035,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,1029395465
39.9432,25.0355,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,1054432011
38.1307,26.2256,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,1080656968
40.34,24.7893,3.56265,66,59,55,996,2800,0.472054,20,9.46999,0.219433,0,1105448495
35.9109,27.8467,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1133294285
41.1322,24.3119,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1157605189
36.5726,27.3429,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1184949317
35.4245,28.2291,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1213177996
41.8469,23.8966,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1237074993
39.9838,25.0101,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1262085130
39.9086,25.0573,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1287142245
39.6344,25.2306,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1312373457
39.5772,25.2671,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1337640737
37.5319,26.644,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1364284510
39.8264,25.109,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1389394414
37.4781,26.6822,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1416075788
39.6108,25.2456,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1441321848
39.7128,25.1808,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1466502715
37.8271,26.4361,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1492938839
40.4278,24.7355,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1517674451
36.7211,27.2323,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1544907390
40.5821,24.6414,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1569548474
38.7384,25.8142,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1595363041
38.3794,26.0557,3.32922,67,58,56,1012,2800,0.472054,10,9.46188,0.219433,0,1621421546
37.2585,26.8395,3.55828,68,56,55,986,2800,0.472054,17,9.51868,0.219433,0,1648258793
40.2933,24.818,3.55828,68,56,55,986,2800,0.472054,17,9.51868,0.219433,0,1673076999
38.668,25.8612,3.55828,68,56,55,986,2800,0.472054,17,9.51868,0.219433,0,1698938234
39.6924,25.1938,3.55828,68,56,55,986,2800,0.472054,17,9.51868,0.219433,0,1724132236
37.0525,26.9887,3.55828,68,56,55,986,2800,0.472054,17,9.51868,0.219433,0,1751121047
41.1811,24.283,3.55828,68,56,55,986,2800,0.472054,17,9.51868,0.219433,0,1775404259
37.2673,26.8332,3.55828,68,56,55,986,2800,0.472054,17,9.51868,0.219433,0,1802237408
