os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127208,6.17.0-20-generic,,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
15.0956,66.2443,4.19847,90,63,65,2517,2800,0.48671,23,8.9733,0,0,229083267
16.6737,59.9748,4.19847,90,63,65,2517,2800,0.48671,23,8.9733,0,0,289058944
10.3075,97.0168,4.19847,90,63,65,2517,2800,0.48671,23,8.9733,0,0,386074340
16.2935,61.3743,4.19847,90,63,65,2517,2800,0.48671,23,8.9733,0,0,447449394
13.5619,73.736,4.19847,90,63,65,2517,2800,0.48671,23,8.9733,0,0,521186816
9.94202,100.583,4.19847,90,63,65,2517,2800,0.48671,23,8.9733,0,0,621776816
11.0704,90.3307,3.66972,90,63,65,2495,2800,0.48671,25,8.97374,0,0,712100646
17.1146,58.4296,3.66972,90,63,65,2495,2800,0.48671,25,8.97374,0,0,770530882
9.52523,104.984,3.66972,90,63,65,2495,2800,0.48671,25,8.97374,0,0,875516503
13.9593,71.6368,3.66972,90,63,65,2495,2800,0.48671,25,8.97374,0,0,947151896
13.8684,72.1066,3.66972,90,63,65,2495,2800,0.48671,25,8.97374,0,0,1019259248
13.9825,71.5179,3.66972,90,63,65,2495,2800,0.48671,25,8.97374,0,0,1090777339
8.97297,111.446,3.66972,90,63,65,2495,2800,0.48671,25,8.97374,0,0,1202225475
16.8468,59.3585,4.27632,88,63,64,2239,2800,0.48671,25,8.97365,0,0,1261582427
11.3985,87.7308,4.27632,88,63,64,2239,2800,0.48671,25,8.97365,0,0,1349314985
13.8906,71.991,4.27632,88,63,64,2239,2800,0.48671,25,8.97365,0,0,1421307801
16.6323,60.124,4.27632,88,63,64,2239,2800,0.48671,25,8.97365,0,0,1481430535
9.60126,104.153,4.27632,88,63,64,2239,2800,0.48671,25,8.97365,0,0,1585584319
9.84999,101.523,4.27632,88,63,64,2239,2800,0.48671,25,8.97365,0,0,1687105974
16.515,60.551,4.27632,88,63,64,2239,2800,0.48671,25,8.97365,0,0,1747660712
17.2248,58.0559,3.51288,85,63,65,2503,2800,0.48671,17,8.97231,0,0,1805713697
17.4307,57.3699,3.51288,85,63,65,2503,2800,0.48671,17,8.97231,0,0,1863084046
10.8402,92.2494,3.51288,85,63,65,2503,2800,0.48671,17,8.97231,0,0,1955335137
13.8613,72.1432,3.51288,85,63,65,2503,2800,0.48671,17,8.97231,0,0,2027478016
15.4998,64.517,3.51288,85,63,65,2503,2800,0.48671,17,8.97231,0,0,2091996130
9.66562,103.459,3.51288,85,63,65,2503,2800,0.48671,17,8.97231,0,0,2195454184
16.2097,61.6913,3.51288,85,63,65,2503,2800,0.48671,17,8.97231,0,0,2257148879
11.6244,86.0258,3.86534,83,64,66,2499,2800,0.48671,23,8.97157,0,0,2343173901
12.9917,76.9725,3.86534,83,64,66,2499,2800,0.48671,23,8.97157,0,0,2420144935
14.9506,66.8868,3.86534,83,64,66,2499,2800,0.48671,23,8.97157,0,0,2487033736
9.76488,102.408,3.86534,83,64,66,2499,2800,0.48671,23,8.97157,0,0,2589451058
15.3718,65.0541,3.86534,83,64,66,2499,2800,0.48671,23,8.97157,0,0,2654495044
11.859,84.3241,3.86534,83,64,66,2499,2800,0.48671,23,8.97157,0,0,2738820734
