os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127204,6.17.0-23-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
38.3051,26.1062,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,308738560
39.8096,25.1196,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,333857727
37.867,26.4082,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,360266844
39.857,25.0897,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,385357098
38.0804,26.2602,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,411616494
39.8031,25.1237,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,436740240
38.2059,26.174,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,462915028
39.9969,25.0019,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,487916455
38.1508,26.2117,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,514129424
37.8686,26.4071,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,540538230
39.222,25.4959,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,566032983
38.828,25.7546,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,591786881
39.4042,25.378,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,617166166
38.4245,26.025,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,643191133
39.8796,25.0755,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,668267620
37.8831,26.397,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,694663082
39.7923,25.1305,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,719793911
37.5686,26.618,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,746413043
39.6562,25.2167,2.36318,58,60,58,800,2800,0.482399,13,6.83635,0,0,771630765
38.1321,26.2246,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,797853523
39.1563,25.5387,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,823392598
39.5118,25.3089,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,848701702
38.7405,25.8127,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,874515021
38.291,26.1158,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,900631039
38.3013,26.1088,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,926739472
39.9641,25.0224,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,951763030
38.7211,25.8257,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,977589955
38.0143,26.3059,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1003895779
39.7137,25.1802,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1029076241
38.413,26.0329,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1055109524
37.8176,26.4427,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1081550981
40.0466,24.9709,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1106522131
38.087,26.2557,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1132777961
38.2198,26.1645,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1158944123
39.4381,25.3562,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1184298892
38.8181,25.7612,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1210060435
37.0957,26.9573,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1237017810
39.2584,25.4722,1.96802,58,63,59,800,2800,0.482399,12,6.83596,0,0,1262490150
