os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127212,6.17.0-22-generic,,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
18.4235,54.2785,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,329385916
18.6043,53.7511,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,383138990
18.1131,55.2086,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,438347837
18.488,54.0893,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,492446854
17.9945,55.5725,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,548009808
18.422,54.2829,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,602292741
17.9088,55.8383,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,658131384
18.6346,53.6636,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,711794610
18.1559,55.0786,2.20162,91,60,64,2597,2800,0.472031,21,7.04335,0,0,766876548
18.2951,54.6594,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,821535198
18.0693,55.3426,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,876877857
18.0702,55.3398,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,932217621
18.5213,53.9918,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,986209195
18.1229,55.1789,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,1041388126
18.0772,55.3183,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,1096707040
18.6163,53.7165,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,1150424518
18.2149,54.9002,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,1205327709
18.1857,54.9882,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,1260312264
18.0632,55.3613,2.65589,91,60,64,2599,2800,0.472031,20,7.04309,0,0,1315680922
17.3444,57.6554,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1373331569
18.1701,55.0353,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1428365527
18.0354,55.4466,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1483812873
15.4974,64.5268,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1548339043
16.814,59.4744,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1607813686
17.6003,56.8171,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1664632547
17.7733,56.2642,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1720895970
17.6858,56.5427,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1777439803
17.4756,57.2227,3.10345,91,61,64,2595,2800,0.472031,21,7.04379,0,0,1834668124
17.486,57.1886,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,1891851000
17.5856,56.8647,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,1948717510
17.672,56.5866,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,2005304624
18.043,55.423,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,2060726883
18.1989,54.9483,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,2115676031
18.4569,54.1802,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,2169856440
18.0779,55.3161,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,2225172820
18.3011,54.6416,3.87879,90,61,64,800,2800,0.472031,19,7.04375,0,0,2279815210
