Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
11:43:23,7579,74.0,95
11:43:25,7579,73.0,99
11:43:28,7597,75.0,94
11:43:30,7701,73.0,95
11:43:33,7697,75.0,95
11:43:35,7687,72.0,94
11:43:37,7735,77.0,94
11:43:40,7730,75.0,94
11:43:42,7701,73.0,92
11:43:44,7698,73.0,100
11:43:47,7665,77.0,97
11:43:49,7656,73.0,99
11:43:52,7663,74.0,92
11:43:54,7728,77.0,93
11:43:56,7716,75.0,95
11:43:59,7724,77.0,92
11:44:01,7716,76.0,95
11:44:03,7728,78.0,98
11:44:06,7729,75.0,99
11:44:08,7721,77.0,94
11:44:10,7726,75.0,93
11:44:13,7719,76.0,95
11:44:15,7737,75.0,93
11:44:17,7725,74.0,93
11:44:20,7725,75.0,91
11:44:22,7706,76.0,99
11:44:24,7722,77.0,92
11:44:27,7720,75.0,99
11:44:29,7726,76.0,93
11:44:31,7721,76.0,96
11:44:34,7728,76.0,92
11:44:36,7787,77.0,99
11:44:38,7780,76.0,95
11:44:41,7780,76.0,91
11:44:43,7761,78.0,96
11:44:45,7773,78.0,92
11:44:48,7771,75.0,93
11:44:50,7747,75.0,96
11:44:53,7742,75.0,100
11:44:55,7746,75.0,95
11:44:57,7671,75.0,97
11:45:00,7672,75.0,100
11:45:02,7671,74.0,97
11:45:04,7655,78.0,99
11:45:07,7742,75.0,95
11:45:09,7732,77.0,98
11:45:11,7704,77.0,93
11:45:14,7696,75.0,95
11:45:16,7699,74.0,98
11:45:18,7698,75.0,93
11:45:21,7691,74.0,95
11:45:23,7714,75.0,95
11:45:25,7778,74.0,100
11:45:28,7822,76.0,100
11:45:30,7871,75.0,100
11:45:33,7916,75.0,95
11:45:35,7950,75.0,95
11:45:37,7913,76.0,95
11:45:40,7901,75.0,93
11:45:42,7888,77.0,95
11:45:44,7875,76.0,99
11:45:47,7874,77.0,97
11:45:49,7875,78.0,93
11:45:51,7934,82.0,96
11:45:54,7986,83.0,92
11:45:56,7993,82.0,99
11:45:58,7994,82.0,99
11:46:01,7972,81.0,100
11:46:03,7956,81.0,93
11:46:06,7964,84.0,96
11:46:08,7965,84.0,93
11:46:11,7959,81.0,95
11:46:13,7967,82.0,100
11:46:15,7970,83.0,93
11:46:18,7965,84.0,97
11:46:20,7968,83.0,97
11:46:23,7966,82.0,92
11:46:25,7966,82.0,91
11:46:27,7935,84.0,95
11:46:30,7938,83.0,99
11:46:32,7930,82.0,95
11:46:35,7933,82.0,95
11:46:37,7932,82.0,96
11:46:39,7969,84.0,92
11:46:42,7965,84.0,98
11:46:44,7967,82.0,95
11:46:46,7957,83.0,100
