Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
20:19:20,7576,77.0,96
20:19:23,7576,77.0,91
20:19:25,7584,76.0,94
20:19:27,7583,77.0,99
20:19:30,7575,75.0,100
20:19:32,7575,78.0,98
20:19:34,7600,76.0,95
20:19:37,7614,76.0,100
20:19:39,7612,75.0,92
20:19:41,7612,76.0,98
20:19:44,7610,75.0,93
20:19:46,7612,75.0,93
20:19:48,7610,75.0,100
20:19:51,7609,76.0,100
20:19:53,7610,76.0,96
20:19:55,7615,76.0,96
20:19:58,7653,76.0,93
20:20:00,7770,80.0,98
20:20:02,7777,81.0,91
20:20:05,7864,83.0,91
20:20:07,7857,83.0,91
20:20:10,7786,81.0,94
20:20:12,7782,80.0,93
20:20:14,7780,83.0,98
20:20:17,7784,84.0,96
20:20:19,7780,82.0,91
20:20:22,7779,82.0,91
20:20:24,7775,80.0,93
20:20:26,7780,82.0,97
20:20:29,7776,83.0,95
20:20:31,7779,83.0,94
20:20:33,7775,82.0,94
20:20:36,7757,82.0,91
20:20:38,7757,83.0,93
20:20:40,7753,83.0,92
20:20:43,7748,84.0,92
20:20:45,7748,82.0,96
20:20:48,7745,84.0,91
20:20:50,7752,82.0,91
20:20:52,7737,82.0,100
20:20:55,7739,82.0,95
20:20:57,7731,82.0,91
20:21:00,7762,81.0,99
20:21:02,7712,84.0,91
20:21:04,7718,83.0,91
20:21:07,7719,83.0,100
20:21:09,7723,81.0,99
20:21:11,7730,82.0,94
20:21:14,7735,83.0,91
20:21:16,7734,82.0,95
20:21:18,7737,84.0,95
20:21:21,7740,80.0,96
20:21:23,7733,83.0,97
20:21:26,7729,83.0,95
20:21:28,7728,83.0,98
20:21:30,7730,82.0,98
20:21:33,7726,82.0,92
20:21:35,7726,84.0,95
20:21:37,7725,83.0,93
20:21:40,7724,84.0,100
20:21:42,7735,83.0,97
20:21:45,7729,83.0,93
20:21:47,7725,82.0,98
20:21:49,7725,84.0,92
20:21:51,7727,83.0,99
20:21:54,7723,86.0,93
20:21:56,7717,84.0,94
20:21:59,7737,85.0,97
20:22:01,7743,85.0,94
20:22:03,7741,84.0,94
20:22:06,7720,85.0,93
20:22:08,7717,85.0,97
20:22:11,7740,83.0,97
20:22:13,7734,84.0,99
20:22:15,7744,85.0,100
20:22:18,7731,83.0,94
20:22:20,7735,84.0,94
20:22:23,7737,84.0,99
20:22:25,7739,86.0,97
20:22:27,7744,84.0,92
20:22:30,7735,84.0,93
20:22:32,7717,84.0,100
20:22:35,7690,86.0,91
20:22:37,7693,85.0,96
20:22:39,7714,84.0,96
20:22:42,7689,83.0,100
20:22:44,7687,85.0,100
20:22:46,7685,86.0,93
20:22:49,7675,85.0,97
20:22:51,7684,85.0,98
20:22:54,7693,86.0,98
20:22:56,7684,85.0,94
20:22:58,7700,87.0,94
20:23:01,7727,84.0,96
20:23:03,7728,85.0,92
20:23:06,7730,86.0,94
20:23:08,7719,83.0,96
20:23:10,7713,85.0,100
20:23:13,7707,84.0,96
20:23:15,7710,83.0,93
20:23:18,7710,85.0,92
20:23:20,7713,86.0,97
20:23:22,7717,86.0,93
20:23:25,7736,85.0,93
20:23:27,7733,83.0,98
20:23:30,7701,83.0,95
20:23:32,7700,83.0,92
20:23:34,7698,82.0,95
20:23:37,7697,82.0,99
20:23:39,7695,83.0,92
20:23:41,7694,83.0,99
20:23:44,7682,82.0,99
20:23:46,7752,85.0,99
