os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127196,6.17.0-23-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
38.4491,26.0084,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,489284250
38.9591,25.6679,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,514952678
39.2117,25.5026,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,540455505
38.2798,26.1234,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,566579878
38.6254,25.8897,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,592469812
38.8568,25.7355,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,618205816
38.0714,26.2664,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,644471995
39.2367,25.4864,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,669959213
39.5714,25.2708,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,695229855
37.6809,26.5387,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,721769237
40.2547,24.8418,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,746610914
38.4165,26.0305,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,772642092
39.0349,25.6181,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,798260205
39.474,25.3331,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,823593425
38.5883,25.9146,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,849509787
39.4947,25.3199,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,874829962
38.6144,25.8971,6.45554,63,69,64,800,2800,0.474224,18,14.1445,0,0,900727720
