Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
10:04:25,6558,74.0,96
10:04:27,6561,75.0,98
10:04:30,6560,74.0,92
10:04:32,6559,76.0,95
10:04:34,6597,75.0,97
10:04:37,6603,75.0,99
10:04:39,6604,75.0,95
10:04:41,6602,74.0,93
10:04:44,6604,74.0,93
10:04:46,6604,73.0,97
10:04:48,6603,73.0,98
10:04:51,6599,75.0,93
10:04:53,6599,74.0,96
10:04:55,6601,74.0,99
10:04:58,6601,73.0,96
10:05:00,6602,74.0,96
10:05:02,6602,74.0,93
10:05:05,6599,76.0,93
10:05:07,6601,74.0,96
10:05:09,6597,75.0,91
10:05:12,6602,73.0,97
10:05:14,6602,74.0,92
10:05:16,6601,72.0,93
10:05:19,6597,74.0,93
10:05:21,6595,75.0,96
10:05:23,6595,75.0,92
10:05:26,6597,75.0,99
10:05:28,6594,73.0,92
10:05:30,6600,75.0,96
10:05:33,6667,75.0,95
10:05:35,6714,77.0,97
10:05:37,6826,81.0,91
10:05:40,6788,81.0,94
10:05:42,6780,81.0,93
10:05:45,6762,81.0,99
10:05:47,6745,83.0,91
10:05:50,6734,83.0,91
10:05:52,6737,82.0,94
10:05:54,6728,82.0,92
10:05:57,6735,82.0,91
10:05:59,6732,81.0,94
10:06:01,6700,83.0,99
10:06:04,6696,83.0,99
10:06:06,6692,83.0,100
10:06:08,6688,81.0,97
10:06:11,6691,83.0,96
10:06:13,6705,83.0,100
10:06:16,6707,84.0,100
10:06:18,6707,83.0,98
10:06:21,6704,84.0,96
10:06:23,6702,82.0,92
10:06:25,6708,80.0,97
10:06:28,6706,83.0,94
10:06:30,6705,82.0,94
10:06:33,6710,82.0,93
10:06:35,6710,84.0,98
10:06:37,6706,83.0,95
10:06:40,6713,84.0,92
10:06:42,6709,83.0,96
10:06:45,6713,84.0,97
10:06:47,6706,83.0,100
10:06:49,6718,84.0,93
10:06:52,6715,83.0,100
10:06:54,6713,86.0,98
10:06:57,6713,85.0,99
10:06:59,6717,83.0,91
10:07:01,6710,84.0,98
10:07:04,6711,83.0,98
10:07:06,6709,83.0,93
10:07:08,6716,84.0,98
10:07:11,6717,83.0,98
10:07:13,6712,83.0,94
10:07:16,6711,84.0,95
10:07:18,6713,83.0,99
10:07:20,6708,84.0,92
10:07:23,6712,85.0,93
10:07:25,6712,85.0,95
10:07:28,6714,83.0,91
10:07:30,6715,83.0,94
10:07:32,6716,84.0,92
10:07:35,6713,83.0,96
10:07:37,6713,85.0,98
10:07:40,6712,85.0,91
10:07:42,6714,84.0,97
10:07:44,6714,85.0,92
10:07:47,6713,85.0,91
10:07:49,6718,84.0,98
10:07:52,6718,84.0,97
10:07:54,6699,81.0,100
10:07:56,6692,82.0,95
10:07:59,6690,85.0,92
10:08:01,6688,83.0,96
10:08:03,6686,85.0,99
10:08:06,6685,84.0,94
10:08:08,6682,85.0,92
10:08:11,6679,83.0,94
10:08:13,6683,82.0,93
10:08:15,6683,83.0,100
10:08:18,6687,84.0,97
10:08:20,6685,84.0,91
10:08:23,6682,83.0,94
10:08:25,6684,82.0,94
10:08:27,6684,86.0,93
10:08:30,6681,84.0,93
10:08:32,6679,85.0,91
10:08:35,6683,81.0,95
10:08:37,6686,82.0,98
10:08:40,6682,85.0,100
10:08:42,6680,84.0,91
10:08:44,6680,84.0,92
10:08:47,6681,84.0,100
10:08:49,6681,84.0,98
10:08:52,6683,85.0,98
10:08:54,6681,85.0,91
10:08:56,6677,83.0,97
10:08:59,6681,86.0,91
10:09:01,6681,86.0,91
10:09:03,6677,83.0,97
10:09:06,6677,85.0,92
10:09:08,6677,84.0,100
10:09:10,6677,86.0,91
10:09:13,6677,85.0,97
10:09:15,6676,83.0,97
10:09:18,6681,87.0,96
10:09:20,6686,85.0,93
10:09:23,6687,82.0,96
10:09:25,6687,83.0,93
10:09:27,6686,83.0,98
10:09:30,6679,83.0,96
10:09:32,6685,86.0,100
10:09:35,6720,85.0,94
10:09:37,6746,85.0,97
10:09:40,6747,85.0,97
10:09:42,6747,85.0,100
10:09:44,6742,85.0,100
10:09:47,6738,83.0,100
10:09:49,6734,85.0,99
