os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127480,6.17.0-22-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
40.609,24.6251,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,48597292
38.8608,25.7329,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,74330735
38.6906,25.846,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,100177972
38.9526,25.6722,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,125849428
39.2328,25.4889,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,151338842
39.4329,25.3596,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,176698192
39.1029,25.5735,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,202271183
37.6905,26.5319,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,228803687
38.9184,25.6948,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,254499940
38.9386,25.6815,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,280180784
38.5302,25.9537,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,306135162
39.19,25.5167,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,331651997
39.4364,25.3573,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,357009804
39.131,25.5552,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,382565423
37.7428,26.4951,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,409062020
39.181,25.5226,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,434584626
39.5803,25.2651,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,459848366
38.9285,25.6881,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,485537946
36.9161,27.0885,6.82927,58,62,65,800,2800,0.476665,13,17.342,0,0,512632898
39.8409,25.0999,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,537727510
39.2418,25.483,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,563210322
38.5039,25.9714,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,589183064
37.7973,26.4569,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,615640507
40.6367,24.6083,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,640247193
38.4035,26.0393,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,666288314
38.3057,26.1058,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,692394767
38.4556,26.004,4.31034,58,63,61,800,2800,0.476665,14,17.3287,0,0,718398167
