Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
10:47:00,7408,76.0,96
10:47:02,7389,78.0,97
10:47:05,7380,77.0,91
10:47:07,7380,76.0,91
10:47:09,7382,76.0,91
10:47:12,7378,77.0,96
10:47:14,7379,80.0,97
10:47:16,7381,76.0,96
10:47:18,7380,75.0,99
10:47:21,7372,76.0,92
10:47:23,7373,78.0,97
10:47:25,7374,77.0,91
