os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127208,6.17.0-20-generic,,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
30.7736,32.4954,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,80923240
31.1003,32.154,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,113077926
32.5922,30.6822,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,143759837
22.8978,43.6723,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,187433383
20.6205,48.4955,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,235930656
26.6858,37.4731,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,273402038
31.6856,31.5601,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,304961773
32.6135,30.6621,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,335624117
25.7527,38.8309,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,374454980
20.4655,48.8628,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,423318023
24.1573,41.3953,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,464713367
31.3276,31.9207,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,496634222
31.6006,31.6449,3.08422,92,61,65,800,2800,0.486259,21,9.34253,0,0,528283275
29.8701,33.4783,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,561757927
20.5132,48.7491,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,610507366
21.72,46.0404,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,656547159
31.4889,31.7573,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,688304717
31.636,31.6096,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,719914316
31.8142,31.4325,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,751347132
20.731,48.237,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,799586038
20.5805,48.5897,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,848175125
31.8442,31.4029,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,879577703
32.0542,31.1972,2.63789,91,61,65,2600,2800,0.486259,22,9.34087,0,0,910774805
