os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127208,6.17.0-22-generic,,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
15.053,66.432,5.27578,92,63,64,2596,2800,0.480709,25,10.4414,0,0,215798908
11.7468,85.1295,5.27578,92,63,64,2596,2800,0.480709,25,10.4414,0,0,300927499
11.9633,83.589,5.27578,92,63,64,2596,2800,0.480709,25,10.4414,0,0,384516672
15.6102,64.0607,5.27578,92,63,64,2596,2800,0.480709,25,10.4414,0,0,448578517
15.5601,64.2671,5.27578,92,63,64,2596,2800,0.480709,25,10.4414,0,0,512846598
15.4088,64.8979,5.27578,92,63,64,2596,2800,0.480709,25,10.4414,0,0,577743870
15.7779,63.3796,5.27578,92,63,64,2596,2800,0.480709,25,10.4414,0,0,641130569
15.3782,65.0273,5.61927,93,63,65,2597,2800,0.480709,22,10.4453,0,0,706152063
12.7398,78.4941,5.61927,93,63,65,2597,2800,0.480709,22,10.4453,0,0,784647182
11.2148,89.1681,5.61927,93,63,65,2597,2800,0.480709,22,10.4453,0,0,873816432
15.5006,64.5136,5.61927,93,63,65,2597,2800,0.480709,22,10.4453,0,0,938330805
9.9851,100.149,5.61927,93,63,65,2597,2800,0.480709,22,10.4453,0,0,1038481214
14.9103,67.0679,5.61927,93,63,65,2597,2800,0.480709,22,10.4453,0,0,1105549067
15.7312,63.5679,5.61927,93,63,65,2597,2800,0.480709,22,10.4453,0,0,1169122916
15.5392,64.3532,5.07246,93,63,65,2596,2800,0.480709,24,10.4442,0,0,1233471389
10.6025,94.3176,5.07246,93,63,65,2596,2800,0.480709,24,10.4442,0,0,1327789227
13.8779,72.057,5.07246,93,63,65,2596,2800,0.480709,24,10.4442,0,0,1399846228
13.6759,73.1211,5.07246,93,63,65,2596,2800,0.480709,24,10.4442,0,0,1472967797
10.4119,96.0439,5.07246,93,63,65,2596,2800,0.480709,24,10.4442,0,0,1569010991
15.111,66.177,5.07246,93,63,65,2596,2800,0.480709,24,10.4442,0,0,1635189556
