os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127200,6.17.0-22-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
41.0238,24.3761,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,154345892
37.8779,26.4006,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,180746377
39.5568,25.2801,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,206027191
37.3673,26.7613,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,232787548
39.5201,25.3036,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,258092687
39.6732,25.2059,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,283298942
38.0371,26.2901,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,309590413
38.0908,26.2531,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,335843062
39.2714,25.4638,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,361307108
39.0488,25.609,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,386916425
37.7181,26.5125,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,413430802
40.4951,24.6944,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,438125272
38.4868,25.983,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,464109008
38.6136,25.8976,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,490006604
38.9998,25.6412,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,515648853
39.4191,25.3684,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,541016940
39.4696,25.3359,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,566352466
38.1152,26.2362,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,592589135
39.2463,25.4801,3.49398,67,58,57,800,2800,0.472721,19,10.4791,0,0,618073859
37.827,26.4362,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,644506454
39.6392,25.2276,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,669734569
38.6475,25.8749,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,695609132
39.1294,25.5562,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,721165941
37.3872,26.7471,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,747913043
38.625,25.89,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,773803826
40.4441,24.7255,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,798529243
39.3769,25.3956,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,823925823
37.3175,26.7971,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,850723169
38.7754,25.7896,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,876513685
40.1218,24.9241,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,901437502
39.0807,25.588,3.92157,67,65,57,800,2800,0.472721,13,10.4791,0,0,927026532
