Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
09:45:47,5993,72.0,93
09:45:50,5992,73.0,96
09:45:52,5989,74.0,99
09:45:55,5990,72.0,98
09:45:57,5986,73.0,98
09:45:59,5919,74.0,96
09:46:02,5921,74.0,91
09:46:04,5901,72.0,93
09:46:06,5900,75.0,97
09:46:08,5899,74.0,100
09:46:11,5900,75.0,93
09:46:13,5899,74.0,96
09:46:16,5899,74.0,96
09:46:18,5899,73.0,100
09:46:20,5900,74.0,93
09:46:23,5898,74.0,98
09:46:25,5839,72.0,100
09:46:27,5840,71.0,93
09:46:30,5845,73.0,96
09:46:32,5845,72.0,98
09:46:34,5844,73.0,96
09:46:37,5844,74.0,92
09:46:39,5844,73.0,92
09:46:41,5844,72.0,96
09:46:44,5846,72.0,95
09:46:46,5845,73.0,93
09:46:48,5841,74.0,93
09:46:51,5917,76.0,91
09:46:53,5959,75.0,99
09:46:55,5969,80.0,99
09:46:58,6084,79.0,92
09:47:00,6100,78.0,94
09:47:03,6116,78.0,99
09:47:05,6172,80.0,93
09:47:07,6218,78.0,94
09:47:10,6298,80.0,97
09:47:12,6332,79.0,94
09:47:14,6378,81.0,92
09:47:17,6374,82.0,99
09:47:19,6355,83.0,92
09:47:21,6357,82.0,100
09:47:24,6365,83.0,97
09:47:26,6389,80.0,97
09:47:28,6374,83.0,96
09:47:31,6368,84.0,100
09:47:33,6368,83.0,97
09:47:35,6364,84.0,96
09:47:38,6366,83.0,92
09:47:40,6407,83.0,98
09:47:43,6413,82.0,100
09:47:45,6404,82.0,91
09:47:47,6401,82.0,100
09:47:50,6408,82.0,94
09:47:52,6404,83.0,92
09:47:55,6402,83.0,97
09:47:57,6405,84.0,96
09:48:00,6373,83.0,91
09:48:02,6367,84.0,92
09:48:04,6370,82.0,95
09:48:07,6368,82.0,91
09:48:09,6368,83.0,100
09:48:11,6372,82.0,97
09:48:14,6374,82.0,98
09:48:16,6372,81.0,93
09:48:19,6374,83.0,96
09:48:21,6369,84.0,96
09:48:23,6366,84.0,95
09:48:26,6372,85.0,100
09:48:28,6368,84.0,99
09:48:30,6359,85.0,95
09:48:33,6366,84.0,98
09:48:35,6375,82.0,96
09:48:38,6362,85.0,92
09:48:40,6360,84.0,100
09:48:42,6362,83.0,100
09:48:45,6362,82.0,97
09:48:47,6368,83.0,99
09:48:50,6365,84.0,96
09:48:52,6360,83.0,92
09:48:54,6366,85.0,96
09:48:57,6368,85.0,96
09:48:59,6373,85.0,93
09:49:01,6374,82.0,99
09:49:04,6378,84.0,92
09:49:06,6375,84.0,92
09:49:09,6370,85.0,97
09:49:11,6373,86.0,95
09:49:13,6374,85.0,96
09:49:16,6366,83.0,99
09:49:18,6367,84.0,98
09:49:21,6367,83.0,93
09:49:23,6366,81.0,97
09:49:25,6364,84.0,99
09:49:28,6371,84.0,91
09:49:30,6376,84.0,95
09:49:33,6371,86.0,91
09:49:35,6369,84.0,100
09:49:37,6379,84.0,99
09:49:40,6405,84.0,93
09:49:42,6414,83.0,97
09:49:45,6421,86.0,93
09:49:47,6414,85.0,98
09:49:49,6419,85.0,96
09:49:52,6415,86.0,98
09:49:54,6422,86.0,91
09:49:57,6451,86.0,100
09:49:59,6442,85.0,97
09:50:01,6434,84.0,91
09:50:04,6427,86.0,94
09:50:06,6428,84.0,95
09:50:09,6432,84.0,93
09:50:11,6427,87.0,97
09:50:14,6428,87.0,92
09:50:16,6434,84.0,91
09:50:18,6429,85.0,95
09:50:21,6436,84.0,94
09:50:23,6434,87.0,97
09:50:26,6430,84.0,100
09:50:28,6431,85.0,99
09:50:30,6426,84.0,99
09:50:33,6425,86.0,95
09:50:35,6425,87.0,98
09:50:38,6439,86.0,94
09:50:40,6450,86.0,99
09:50:43,6458,87.0,92
09:50:45,6461,86.0,91
09:50:48,6459,85.0,92
09:50:50,6457,83.0,91
09:50:52,6368,83.0,95
09:50:55,6367,82.0,98
09:50:57,6362,81.0,91
09:51:00,6351,84.0,98
09:51:02,6420,82.0,92
09:51:04,6421,81.0,98
