os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127204,6.17.0-22-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
39.2629,25.4693,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,463181158
39.522,25.3024,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,488484059
37.0309,27.0044,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,515488176
38.8183,25.7611,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,541251985
39.287,25.4537,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,566704638
38.6605,25.8662,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,592569758
38.72,25.8264,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,618397388
38.4674,25.996,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,644392423
40.8532,24.4779,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,668870469
37.3677,26.7611,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,695631798
39.1725,25.5281,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,721160184
38.9329,25.6852,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,746845305
37.7634,26.4807,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,773328089
40.745,24.5429,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,797869615
36.9776,27.0434,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,824913186
39.6852,25.1983,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,850111660
38.758,25.8011,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,875912629
35.7897,27.941,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,903854073
40.62,24.6184,2.20318,58,60,58,800,2800,0.480026,10,10.5539,0,0,928477623
39.7003,25.1887,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,953662992
38.5067,25.9695,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,979631467
39.4106,25.3739,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1005007806
40.6014,24.6297,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1029636055
37.7326,26.5023,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1056137786
38.8498,25.7402,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1081878191
39.5073,25.3118,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1107189828
38.6532,25.8711,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1133060939
38.8491,25.7406,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1158801495
38.3557,26.0717,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1184873996
38.9324,25.6856,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1210559307
39.1619,25.535,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1236094776
39.0164,25.6302,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1261725094
38.8368,25.7488,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1287474316
38.6429,25.8779,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1313353673
37.65,26.5604,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1339912701
40.3947,24.7557,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1364669733
39.0369,25.6168,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1390285503
38.8733,25.7246,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1416010740
38.9954,25.644,3.19018,58,62,58,800,2800,0.480026,12,10.5477,0,0,1441659081
39.1712,25.5289,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1467183580
37.5966,26.5981,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1493781711
38.2006,26.1776,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1519959541
40.0812,24.9494,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1544909376
39.2985,25.4463,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1570355457
37.2842,26.821,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1597176408
40.4205,24.7399,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1621916298
39.1864,25.5191,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1647435817
37.4496,26.7026,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1674138576
38.9575,25.669,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1699808628
39.094,25.5794,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1725387279
37.5254,26.6486,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1752036066
41.0072,24.3859,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1776421998
33.3756,29.962,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1806384481
46.8071,21.3643,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1827748488
37.7161,26.5138,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1854262661
38.8458,25.7428,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1880006303
39.392,25.3859,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1905391549
39.6858,25.1979,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1930589712
37.8935,26.3898,3.0525,58,58,58,800,2800,0.480026,12,10.5428,0,0,1956985402
38.8968,25.7091,2.80488,58,62,58,800,2800,0.480026,9,10.5437,0,0,1982689308
